Step,Reward,Action_Index,Node_ID,Link_Cost,Decision_Type
1,24.56,36,38,0.50,RL
2,40.00,39,41,0.50,RL
3,70.00,39,41,0.00,RL
4,70.00,39,41,0.00,RL
5,38.09,39,41,0.50,RL
6,38.46,7,9,0.50,RL
7,0.00,39,41,0.20,RL
8,40.00,35,37,0.50,RL
9,40.00,10,12,0.50,RL
10,40.00,35,37,0.50,RL
11,10.00,35,37,0.00,RL
12,36.71,10,12,0.50,RL
13,26.03,10,12,0.50,RL
14,60.00,4,6,0.20,RL
15,70.00,4,6,0.00,RL
16,26.30,4,6,0.50,RL
17,40.00,46,48,0.50,RL
18,59.97,42,44,0.20,RL
19,40.00,14,16,0.50,RL
20,40.00,12,14,0.50,RL
21,-20.00,10,12,0.50,RL
22,-20.00,35,37,0.50,RL
23,-20.00,46,48,0.50,RL
24,-20.00,22,24,0.50,RL
25,38.79,12,14,0.50,RL
26,60.00,2,4,0.20,RL
27,-5.00,0,2,1.00,RL
28,57.05,40,42,0.20,RL
29,60.00,14,16,0.20,RL
30,65.59,14,16,0.00,RL
31,60.00,16,18,0.20,RL
32,0.00,16,18,0.20,RL
33,-5.00,0,2,1.00,RL
34,40.00,45,47,0.50,RL
35,-20.00,42,44,0.50,RL
36,-5.00,0,2,1.00,RL
37,39.51,45,47,0.50,RL
38,39.64,2,4,0.50,RL
39,-5.00,0,2,1.00,RL
40,25.00,0,2,1.00,RL
41,40.00,33,35,0.50,RL
42,-20.00,36,38,0.50,RL
43,-20.00,4,6,0.50,RL
44,-5.00,0,2,1.00,RL
45,25.00,0,2,1.00,RL
46,60.00,33,35,0.20,RL
47,24.50,2,4,0.50,RL
48,39.90,33,35,0.50,RL
49,26.77,25,27,0.50,RL
50,-20.00,33,35,0.50,RL
51,-5.00,0,2,1.00,RL
52,25.00,0,2,1.00,RL
53,-20.00,40,42,0.50,RL
54,-5.00,0,2,1.00,RL
55,25.00,0,2,1.00,RL
56,40.00,47,49,0.50,RL
57,60.00,48,50,0.20,RL
58,-20.00,12,14,0.50,RL
59,-20.00,45,47,0.50,RL
60,60.00,41,43,0.20,RL
61,-5.00,0,2,1.00,RL
62,-20.00,14,16,0.50,RL
63,60.00,20,22,0.20,RL
64,-5.00,0,2,1.00,RL
65,40.00,20,22,0.50,RL
66,40.00,47,49,0.50,RL
67,-5.00,0,2,1.00,RL
68,40.00,48,50,0.50,RL
69,0.00,2,4,0.20,RL
70,-5.00,0,2,1.00,RL
71,25.00,0,2,1.00,RL
72,31.15,47,49,0.50,RL
73,-5.00,0,2,1.00,RL
74,-5.00,0,2,1.00,RL
75,25.00,0,2,1.00,RL
76,40.00,41,43,0.50,RL
77,-5.00,0,2,1.00,RL
78,25.00,0,2,1.00,RL
79,55.93,41,43,0.20,RL
80,-5.00,0,2,1.00,RL
81,40.00,48,50,0.50,RL
82,-5.00,0,2,1.00,RL
83,25.00,0,2,1.00,RL
84,25.00,0,2,1.00,RL
85,-5.00,0,2,1.00,RL
86,25.00,0,2,1.00,RL
87,-20.00,41,43,0.50,RL
88,-5.00,0,2,1.00,RL
89,24.98,0,2,1.00,RL
90,24.88,0,2,1.00,RL
91,-5.55,0,2,1.00,RL
92,40.00,48,50,0.50,RL
93,-5.88,0,2,1.00,RL
94,23.20,0,2,1.00,RL
95,39.98,48,50,0.50,RL
96,-8.03,0,2,1.00,RL
97,20.84,0,2,1.00,RL
98,-9.84,0,2,1.00,RL
99,19.24,0,2,1.00,RL
100,18.03,0,2,1.00,RL
101,16.36,0,2,1.00,RL
102,35.01,48,50,0.50,RL
103,-15.50,0,2,1.00,RL
104,-50.00,0,2,1.00,RL
105,-50.00,0,2,1.00,RL
106,-50.00,0,2,1.00,RL
