Step,Reward,Action,Link_Cost,Decision_Type
199,-100.00,49,1.00,RL
200,-100.00,49,1.00,RL
201,-100.00,49,1.00,RL
202,-100.00,49,1.00,RL
203,-100.00,49,1.00,RL
204,-100.00,49,1.00,RL
205,-100.00,49,1.00,RL
206,-100.00,49,1.00,RL
207,-100.00,49,1.00,RL
208,-100.00,49,1.00,RL
209,-100.00,49,1.00,RL
210,-100.00,49,1.00,RL
211,-100.00,49,1.00,RL
212,-100.00,49,1.00,RL
213,-100.00,49,1.00,RL
214,-100.00,49,1.00,RL
215,-100.00,49,1.00,RL
216,-100.00,49,1.00,RL
217,-100.00,49,1.00,RL
218,-100.00,49,1.00,RL
219,-100.00,49,1.00,RL
220,-100.00,49,1.00,RL
221,-100.00,49,1.00,RL
222,-100.00,49,1.00,RL
223,-100.00,49,1.00,RL
224,-100.00,49,1.00,RL
225,-100.00,49,1.00,RL
226,-100.00,49,1.00,RL
227,-100.00,49,1.00,RL
228,-100.00,49,1.00,RL
229,-100.00,49,1.00,RL
230,-100.00,49,1.00,RL
231,-100.00,49,1.00,RL
232,-100.00,49,1.00,RL
233,-100.00,49,1.00,RL
234,-100.00,49,1.00,RL
235,-100.00,49,1.00,RL
236,-100.00,49,1.00,RL
237,-100.00,49,1.00,RL
238,-100.00,49,1.00,RL
239,-100.00,49,1.00,RL
240,-100.00,49,1.00,RL
241,-100.00,49,1.00,RL
242,-100.00,49,1.00,RL
243,-100.00,49,1.00,RL
244,-100.00,49,1.00,RL
245,-100.00,49,1.00,RL
246,-100.00,49,1.00,RL
247,-100.00,49,1.00,RL
248,-100.00,49,1.00,RL
249,-100.00,49,1.00,RL
250,-100.00,49,1.00,RL
251,-100.00,49,1.00,RL
252,-100.00,49,1.00,RL
253,-100.00,49,1.00,RL
254,-100.00,49,1.00,RL
255,-100.00,49,1.00,RL
256,-100.00,49,1.00,RL
257,-100.00,49,1.00,RL
258,-100.00,49,1.00,RL
259,-100.00,49,1.00,RL
260,-100.00,49,1.00,RL
261,-100.00,49,1.00,RL
262,-100.00,49,1.00,RL
263,-100.00,49,1.00,RL
264,-100.00,49,1.00,RL
265,-100.00,49,1.00,RL
266,-100.00,49,1.00,RL
267,-100.00,49,1.00,RL
268,-100.00,49,1.00,RL
269,-100.00,49,1.00,RL
270,-100.00,49,1.00,RL
271,-100.00,49,1.00,RL
272,-100.00,49,1.00,RL
273,-100.00,49,1.00,RL
274,-100.00,49,1.00,RL
275,-100.00,49,1.00,RL
276,-100.00,49,1.00,RL
277,-100.00,49,1.00,RL
278,-100.00,49,1.00,RL
279,-100.00,49,1.00,RL
280,-100.00,49,1.00,RL
281,-100.00,49,1.00,RL
282,-100.00,49,1.00,RL
283,-100.00,49,1.00,RL
284,-100.00,49,1.00,RL
285,-100.00,49,1.00,RL
286,-100.00,49,1.00,RL
287,-100.00,49,1.00,RL
288,-100.00,49,1.00,RL
289,-100.00,49,1.00,RL
290,-100.00,49,1.00,RL
291,-100.00,49,1.00,RL
292,-100.00,49,1.00,RL
293,-100.00,49,1.00,RL
294,-100.00,49,1.00,RL
295,-100.00,49,1.00,RL
296,-100.00,49,1.00,RL
297,-100.00,49,1.00,RL
298,-100.00,49,1.00,RL
299,-100.00,49,1.00,RL
300,-100.00,49,1.00,RL
301,-100.00,49,1.00,RL
302,-100.00,49,1.00,RL
303,-100.00,49,1.00,RL
304,-100.00,49,1.00,RL
305,-100.00,49,1.00,RL
306,-100.00,49,1.00,RL
307,-100.00,49,1.00,RL
308,-100.00,49,1.00,RL
309,-100.00,49,1.00,RL
310,-100.00,49,1.00,RL
311,-100.00,49,1.00,RL
312,-100.00,49,1.00,RL
313,-100.00,49,1.00,RL
314,-100.00,49,1.00,RL
315,-100.00,49,1.00,RL
316,-100.00,49,1.00,RL
317,-100.00,49,1.00,RL
318,-100.00,49,1.00,RL
319,-100.00,49,1.00,RL
320,-100.00,49,1.00,RL
321,-100.00,49,1.00,RL
322,-100.00,49,1.00,RL
323,-100.00,49,1.00,RL
324,-100.00,49,1.00,RL
325,-100.00,49,1.00,RL
326,-100.00,49,1.00,RL
327,-100.00,49,1.00,RL
328,-100.00,49,1.00,RL
329,-100.00,49,1.00,RL
330,-100.00,49,1.00,RL
331,-100.00,49,1.00,RL
332,-100.00,49,1.00,RL
333,-100.00,49,1.00,RL
334,-100.00,49,1.00,RL
335,-100.00,49,1.00,RL
336,-100.00,49,1.00,RL
337,-100.00,49,1.00,RL
338,-100.00,49,1.00,RL
339,-100.00,49,1.00,RL
340,-100.00,49,1.00,RL
341,-100.00,49,1.00,RL
342,-100.00,49,1.00,RL
343,-100.00,49,1.00,RL
